1 1:2228.803638 2:36.285007 3:50.720808 4:1.713450 5:-3.471137 6:-11.847127 7:-18.384089 8:-7.894521 9:-2.465585 10:-10.025698 11:-4.506167 12:-14.283038 13:-6.623598 14:-7.354535 15:-4.598419 16:1.179687 17:2.015045 18:4.288705 19:6.869348 20:9.308859 21:17.136948 22:18.223262 23:14.016188 24:8.726223 25:2.450391 26:0.389779 27:1.357384 28:2.225514 29:3.314312 30:3.076228 31:1.093043 32:-0.594663 33:-2.149520 34:-1.317007 35:3.335504 36:4.974194 37:5.053975 38:4.573863 39:1.468576 40:0.729734 
15 1:2119.760644 2:68.332656 3:52.364351 4:8.754482 5:-26.790703 6:-14.558034 7:-32.257894 8:-12.418725 9:-15.385030 10:-8.016032 11:-3.909394 12:-11.127107 13:-4.206479 14:-8.044131 15:-4.787054 16:-4.448145 17:-0.722809 18:-0.744634 19:1.648557 20:8.495792 21:12.318789 22:16.590767 23:17.625084 24:17.199325 25:15.072165 26:9.494883 27:1.909695 28:-1.183151 29:-2.732791 30:2.888811 31:4.908536 32:6.047049 33:6.469218 34:5.098844 35:4.295838 36:2.840405 37:3.766210 38:-0.010133 39:-1.086582 40:-1.584592 
10 1:2185.208505 2:41.773838 3:68.665011 4:-7.843419 5:-16.281773 6:-24.964018 7:-35.026204 8:-4.603780 9:-11.558996 10:5.050268 11:-3.771669 12:-6.191098 13:-5.507927 14:-16.575767 15:-6.353665 16:-6.967137 17:0.314704 18:0.909543 19:3.190216 20:12.394605 21:12.926588 22:13.116625 23:13.279581 24:3.764487 25:6.272796 26:3.394715 27:0.345805 28:4.410383 29:7.162729 30:8.207247 31:1.736407 32:0.941138 33:0.927682 34:0.596392 35:4.125152 36:8.780813 37:10.535469 38:6.822009 39:4.869616 40:-0.764294 
13 1:2198.454394 2:54.811353 3:3.490365 4:-2.976598 5:9.672397 6:-14.484542 7:-6.867196 8:-0.712953 9:-10.260806 10:-11.722421 11:-4.505797 12:-6.353169 13:-5.476560 14:-8.768253 15:-8.472831 16:-12.622984 17:-1.824352 18:5.025763 19:3.417660 20:9.085603 21:16.765951 22:23.264290 23:13.732835 24:12.489436 25:1.913622 26:-5.203328 27:-9.170328 28:-5.999260 29:0.439325 30:2.747309 31:2.829688 32:-0.134923 33:-7.162570 34:-3.050633 35:0.039876 36:4.658044 37:6.423580 38:5.510835 39:1.196409 40:1.497121 
18 1:2202.205888 2:25.812206 3:23.809867 4:-6.648482 5:-2.638836 6:-11.646673 7:2.480616 8:-4.060952 9:-11.726378 10:-10.250544 11:-9.409579 12:-6.686568 13:3.292117 14:-2.753316 15:-8.157102 16:-6.675002 17:-3.879285 18:-2.616762 19:-0.785539 20:-3.391995 21:-1.654273 22:0.992759 23:6.154273 24:5.849042 25:15.065911 26:12.027332 27:12.362217 28:9.498801 29:3.913428 30:0.844704 31:-3.675111 32:-3.990012 33:1.107173 34:2.632340 35:5.142992 36:2.464454 37:2.419712 38:-0.019100 39:-2.013464 40:-1.322584 
12 1:2172.871014 2:59.080827 3:44.600311 4:12.753184 5:-9.845544 6:-10.179397 7:-20.221830 8:-8.511326 9:-2.143457 10:-3.940585 11:-3.498034 12:-6.519687 13:-17.907480 14:-13.096636 15:-5.277728 16:-9.152253 17:-4.199429 18:0.252124 19:4.072855 20:11.242265 21:11.635098 22:16.930953 23:15.853508 24:7.002415 25:1.405621 26:1.140409 27:-1.090452 28:-0.712789 29:1.037466 30:2.910803 31:3.296233 32:1.669741 33:0.822497 34:2.625149 35:5.409092 36:4.373317 37:4.646816 38:2.168212 39:3.152598 40:4.842692 
2 1:2135.215995 2:59.434967 3:43.740217 4:5.338618 5:-33.514123 6:-21.533420 7:-26.977422 8:-18.751856 9:2.256304 10:-7.011777 11:-8.853469 12:-8.256745 13:-11.941893 14:-3.763633 15:4.290554 16:1.630463 17:2.930803 18:1.468308 19:-3.261932 20:0.029236 21:-0.527805 22:-1.829829 23:2.649134 24:5.364337 25:8.483833 26:10.230097 27:5.014228 28:7.417062 29:6.199293 30:2.981741 31:-0.141306 32:0.739926 33:2.055482 34:6.395489 35:3.368234 36:0.261535 37:-0.465939 38:1.600530 39:0.800652 40:1.985863 
38 1:2098.897755 2:58.844341 3:62.405861 4:9.763026 5:-21.336216 6:-17.769441 7:-38.752496 8:-12.105160 9:-10.348749 10:-3.135205 11:-4.621157 12:-13.875508 13:-14.668756 14:-15.728924 15:-10.114617 16:-9.391986 17:-4.849841 18:-0.502732 19:3.005033 20:8.700147 21:12.708122 22:17.364080 23:18.331260 24:6.545725 25:-1.584241 26:-1.721207 27:-1.992405 28:0.269557 29:1.364346 30:3.093225 31:1.164964 32:2.118844 33:1.083927 34:1.665320 35:2.527410 36:3.580741 37:5.606584 38:3.874468 39:2.502119 40:2.232893 
37 1:2186.345120 2:38.819101 3:46.189645 4:13.889850 5:-9.921423 6:-15.610360 7:-24.948227 8:-23.680427 9:-11.271312 10:-12.334704 11:-4.731731 12:-2.055980 13:1.857926 14:-3.571164 15:-1.051845 16:-6.886998 17:-4.238515 18:-2.177484 19:-4.112749 20:0.592165 21:8.079930 22:10.348345 23:13.446048 24:10.414568 25:6.239330 26:7.520902 27:6.649812 28:1.016253 29:2.047891 30:0.984442 31:2.184578 32:4.061473 33:2.757998 34:5.450253 35:2.937885 36:2.527113 37:2.280083 38:3.175863 39:-0.205009 40:2.528064 
35 1:2243.346032 2:5.522960 3:-7.253326 4:7.220835 5:30.096490 6:-5.619434 7:-3.055097 8:-14.076795 9:-12.700894 10:1.944209 11:-2.926002 12:-14.579659 13:-0.439144 14:2.924621 15:-8.006716 16:-6.243921 17:-2.291575 18:-0.759135 19:2.058617 20:2.531732 21:0.653301 22:8.104407 23:10.016553 24:7.373367 25:9.477014 26:5.906681 27:4.709688 28:-1.095076 29:1.142630 30:-1.728520 31:0.373212 32:1.525993 33:2.125839 34:0.151264 35:3.388307 36:2.691533 37:1.466304 38:-1.167617 39:2.934663 40:-0.263387 
